hex_id,transport_within_500m,commerce_within_500m,education_within_500m,residential_within_500m,office_within_500m,leisure_within_500m,transport_within_1000m,commerce_within_1000m,education_within_1000m,residential_within_1000m,office_within_1000m,leisure_within_1000m,distance_to_nearest_transport,distance_to_nearest_commerce,distance_to_nearest_education,distance_to_nearest_residential,distance_to_nearest_office,distance_to_nearest_leisure,hex_area_sqkm,transport_within_500m_density,commerce_within_500m_density,education_within_500m_density,residential_within_500m_density,office_within_500m_density,leisure_within_500m_density,transport_within_1000m_density,commerce_within_1000m_density,education_within_1000m_density,residential_within_1000m_density,office_within_1000m_density,leisure_within_1000m_density,target,cluster,potential_category,integral_potential,attractiveness_score,competition_factor
8911aa40c63ffff,0,0,0,0,0,0,0,0,0,2,0,0,1172.9426060667697,1223.4800272391433,1604.9595314666092,579.942428118393,4488.975112718288,1199.5965200943608,0.3091212610840061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.469952901287124,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
8911aa7910bffff,3,10,0,2,1,0,11,51,4,11,5,1,197.936581090452,71.094487977747,755.874709983406,76.0669318740933,288.67245500935854,908.5959346892464,0.3111215317958066,9.642534165616484,32.141780552054946,0.0,6.428356110410989,3.2141780552054944,0.0,35.35595860726044,163.9230808154802,12.856712220821978,35.35595860726044,16.070890276027473,3.2141780552054944,0,0,Категория 2,0.356,0.08,1.0
8911aa4ce73ffff,0,0,0,0,0,0,1,7,0,0,0,0,960.7672623907342,678.4393167274526,1123.615482856625,1072.0322592257314,1969.3747191945918,768.4390423045137,0.3096361627384695,0.0,0.0,0.0,0.0,0.0,0.0,3.229596928071474,22.607178496500314,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
89118191807ffff,0,0,0,0,0,0,0,0,0,0,0,0,4315.330426818897,5618.914998853209,6697.997595548668,6659.857811945523,38520.22258916185,2226.3195240129116,0.3020461629771833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Категория 2,0.3,0.0,1.0
8911aa720afffff,0,7,0,0,0,1,0,10,0,0,0,1,1368.4905139208984,246.3850365375922,2249.392816919293,2559.6550938771124,1631.576957802232,317.5911581674461,0.3134834127990698,0.0,22.32973010436988,0.0,0.0,0.0,3.1899614434814114,0.0,31.899614434814115,0.0,0.0,0.0,3.1899614434814114,0,0,Категория 1,0.25,0.0,0.8333333333333334
891181b36bbffff,0,0,0,0,0,0,0,0,0,0,0,0,1308.4801927029941,1417.8492368500372,6146.036102624244,3513.351909212325,19148.608947128683,1026.1684093427916,0.3064699458008118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Категория 2,0.3,0.0,1.0
8911aa7ae87ffff,3,33,0,1,0,7,12,93,3,29,3,15,207.9904680156244,66.60419279663702,483.63460727863503,64.27916945010733,624.1823354465134,133.9946773804522,0.31217214463217346,9.610082294609736,105.71090524070709,0.0,3.203360764869912,0.0,22.423525354089385,38.440329178438944,297.9125511329018,9.610082294609736,92.89746218122745,9.610082294609736,48.05041147304868,1,0,Категория 5,0.732,0.76,0.6666666666666667
8911aa4dd6fffff,0,0,0,0,0,0,0,0,0,0,0,0,2324.5626458594224,2092.1746949621165,3058.1319760303304,2570.042639503708,2092.1746949621165,1737.103647524655,0.30942896607351267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
8911aa4b45bffff,2,1,0,0,0,0,4,8,0,5,2,0,473.09585351031495,177.88628786245044,916.8028684272497,388.4644322992322,493.6437189780527,1037.4460561198262,0.305710916924828,6.542128165124653,3.2710640825623263,0.0,0.0,0.0,0.0,13.084256330249305,26.16851266049861,0.0,16.355320412811633,6.542128165124653,0.0,0,0,Категория 2,0.3,0.0,1.0
8911aa49e77ffff,0,0,0,0,0,0,0,0,0,0,0,0,4106.717976100493,2161.2881455199977,4468.355440860937,3281.8567376916185,10936.84416283329,2243.31470816963,0.3064520282296465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
891181b222fffff,0,0,0,0,0,0,0,0,0,0,0,0,1835.9269385369626,1682.932265393335,3211.8678640437415,1904.2447946857483,7152.389315169972,2260.5085591088323,0.3074535455564052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
891181872b3ffff,0,0,0,0,0,0,1,0,0,0,0,0,884.283355836543,11343.479069376439,11048.89188637253,5456.653898144351,24860.58385147012,9395.41517742824,0.30422266973706164,0.0,0.0,0.0,0.0,0.0,0.0,3.2870660193216232,0.0,0.0,0.0,0.0,0.0,0,1,Категория 2,0.3,0.0,1.0
8911aa7acabffff,0,10,0,7,1,1,9,45,1,29,14,4,547.4153998519181,127.63345528301349,442.3323555459107,20.910055056117994,319.8910592722851,313.5103768715806,0.3124448614805947,0.0,32.00564718079411,0.0,22.40395302655587,3.2005647180794106,3.2005647180794106,28.805082462714694,144.02541231357347,3.2005647180794106,92.8163768243029,44.80790605311174,12.802258872317642,0,0,Категория 2,0.34199999999999997,0.06,1.0
8911aa71917ffff,0,0,0,0,0,0,1,1,0,0,0,2,969.2844878275587,741.2998998525787,1695.0328566230016,1368.9503898364148,1383.524606898574,0.0,0.31369326366997535,0.0,0.0,0.0,0.0,0.0,0.0,3.1878274601779832,3.1878274601779832,0.0,0.0,0.0,6.3756549203559665,0,0,Категория 2,0.3,0.0,1.0
8911aa41107ffff,0,0,0,2,0,0,0,0,0,2,0,0,4237.917320821551,1083.6611072687704,6807.993021041167,289.14063052351565,2572.0630533574003,3218.0924248506903,0.3080064983355802,0.0,0.0,0.0,6.493369493201256,0.0,0.0,0.0,0.0,0.0,6.493369493201256,0.0,0.0,0,0,Категория 2,0.307,0.01,1.0
8911aa49103ffff,0,0,0,0,0,0,0,0,0,0,0,0,3746.905623496397,3789.120887677679,3705.3479076183276,3906.705087934572,6505.717612337948,2721.807554969104,0.3063123728389978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
8911aa7960bffff,0,1,0,2,0,7,10,15,0,31,0,11,565.84908727357,463.68503753878,969.0177371716148,247.89360676909172,1320.0210303805661,0.0,0.3104245986947174,0.0,3.2213941942901103,0.0,6.442788388580221,0.0,22.549759360030773,32.2139419429011,48.32091291435166,0.0,99.86322002299342,0.0,35.435336137191214,0,0,Категория 2,0.377,0.11,1.0
89118180d6bffff,0,0,0,0,0,0,0,0,0,0,0,0,5570.5880631915,17479.68732334806,17450.54470538411,6344.20794325957,30128.65603042948,15792.351887663865,0.30374850777717766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Категория 2,0.3,0.0,1.0
8911aa4ac5bffff,0,0,0,0,0,0,0,0,0,0,0,0,1026.9514545817744,1776.164929346994,3655.6071709431285,1416.173981692691,5501.886640902844,1026.6069095599032,0.3073203254225944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
8911aa7a1abffff,3,4,0,20,5,1,13,235,1,51,24,10,208.47193113764754,452.7074454452853,695.2054201335721,9.780860534323734,190.8979800718818,242.15872595796094,0.31209377572321695,9.612495452842916,12.816660603790556,0.0,64.08330301895278,16.020825754738194,3.204165150947639,41.65414696231931,752.9788104726952,3.204165150947639,163.41242269832958,76.89996362274333,32.04165150947639,0,0,Категория 2,0.285,0.05,0.8333333333333334
8911aa72a47ffff,3,5,1,22,0,3,17,64,4,83,1,13,350.962919668103,13.81916773171614,53.06851206083581,0.0,635.9740266642356,74.06876918767752,0.31385427228896456,9.55857627210475,15.930960453507916,3.1861920907015833,70.09622599543484,0.0,9.55857627210475,54.165265541926914,203.91629380490133,12.744768362806333,264.45394352823143,3.1861920907015833,41.42049717912058,0,0,Категория 2,0.363,0.09,1.0
8911aa41323ffff,0,0,0,0,0,0,0,0,0,0,0,0,2584.6493288931533,2821.9967208798826,5494.88768927142,4093.525648530226,6410.287569753506,2915.7122728625714,0.3078359497762252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
8911aa79c73ffff,2,43,0,21,2,4,19,192,3,56,10,12,403.7057329009491,257.20592123659316,345.33360264004807,20.51178378398209,341.8783873029162,67.91758098013457,0.311486155117032,6.4208311256998165,138.04786920254605,0.0,67.41872681984808,6.4208311256998165,12.841662251399633,60.997895694148255,616.3997880671824,9.631246688549725,179.78327151959485,32.10415562849908,38.5249867541989,1,0,Категория 5,0.7749999999999999,0.75,0.8333333333333334
8911aa6326bffff,2,4,0,12,0,1,6,39,5,51,2,14,214.5090762876204,79.3226694578067,526.2779052314075,51.52039996828642,793.3769364354943,425.131898775927,0.3130016071760424,6.389743548106237,12.779487096212474,0.0,38.338461288637426,0.0,3.1948717740531185,19.169230644318713,124.59999918807164,15.974358870265593,162.93846047670905,6.389743548106237,44.728204836743664,0,0,Категория 2,0.33499999999999996,0.05,1.0
